epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,13331.9,0.88558,0.63201,1.32727,0.92042,0.8875,0.93436,0.65439,1.10902,0.55104,1.65324,0.003763,0.003763,0.003763
65,13540,0.87635,0.62393,1.31377,0.92937,0.87303,0.93471,0.65761,1.09699,0.55392,1.64472,0.003664,0.003664,0.003664
66,13748,0.86435,0.6174,1.30828,0.91828,0.886,0.93502,0.65987,1.09219,0.55436,1.63948,0.003565,0.003565,0.003565
67,13967.8,0.86981,0.61973,1.31408,0.92602,0.87866,0.93425,0.65829,1.10179,0.55346,1.6511,0.003466,0.003466,0.003466
68,14176.2,0.85804,0.6071,1.30509,0.9157,0.87738,0.93329,0.65849,1.10878,0.55437,1.66524,0.003367,0.003367,0.003367
69,14381.7,0.85411,0.60673,1.302,0.93661,0.86442,0.93106,0.65796,1.11224,0.55998,1.67073,0.003268,0.003268,0.003268
70,14587.6,0.83983,0.59648,1.29055,0.91987,0.8831,0.93147,0.66051,1.1149,0.55075,1.67441,0.003169,0.003169,0.003169
71,14792.6,0.83536,0.59361,1.28723,0.92862,0.88846,0.93558,0.66028,1.11248,0.54076,1.67748,0.00307,0.00307,0.00307
72,14997.6,0.83469,0.59394,1.28996,0.94109,0.87557,0.93635,0.66223,1.1122,0.53398,1.67158,0.002971,0.002971,0.002971
73,15202.8,0.82338,0.58488,1.28387,0.93541,0.8634,0.93179,0.65733,1.12515,0.53796,1.68819,0.002872,0.002872,0.002872
74,15411.6,0.82265,0.58825,1.27825,0.92249,0.88173,0.93228,0.6581,1.12128,0.53801,1.68812,0.002773,0.002773,0.002773
75,15619,0.80985,0.57749,1.2743,0.92953,0.87692,0.93286,0.65708,1.11441,0.5401,1.68843,0.002674,0.002674,0.002674
76,15825.9,0.81888,0.57871,1.27808,0.92944,0.87397,0.93112,0.66064,1.11444,0.53868,1.69023,0.002575,0.002575,0.002575
77,16031.4,0.79919,0.566,1.26711,0.9196,0.88462,0.93076,0.65747,1.12413,0.54223,1.70674,0.002476,0.002476,0.002476
78,16236.6,0.79172,0.56039,1.26266,0.9139,0.87767,0.93043,0.6559,1.11836,0.54843,1.7012,0.002377,0.002377,0.002377
79,16448.9,0.7899,0.56344,1.25969,0.90984,0.89271,0.93154,0.65642,1.11545,0.54254,1.70147,0.002278,0.002278,0.002278
80,16654.8,0.78568,0.54413,1.2577,0.92672,0.87546,0.93186,0.65779,1.11537,0.54348,1.70482,0.002179,0.002179,0.002179
81,16858.9,0.77706,0.53868,1.24644,0.93545,0.87308,0.93376,0.65759,1.11587,0.54077,1.70745,0.00208,0.00208,0.00208
82,17077,0.77696,0.54202,1.24694,0.92562,0.88173,0.93206,0.65787,1.11805,0.54569,1.71302,0.001981,0.001981,0.001981
83,17290.4,0.76263,0.53568,1.24201,0.92785,0.88365,0.93297,0.65814,1.12045,0.54627,1.7213,0.001882,0.001882,0.001882
84,17505,0.75285,0.5257,1.23112,0.92714,0.87692,0.93164,0.6574,1.1245,0.54618,1.72945,0.001783,0.001783,0.001783
85,17715.6,0.74697,0.52434,1.22958,0.92191,0.8741,0.93154,0.65664,1.12238,0.54451,1.7322,0.001684,0.001684,0.001684
86,17922.5,0.74583,0.52084,1.22947,0.92328,0.87596,0.93246,0.65701,1.12256,0.54784,1.7353,0.001585,0.001585,0.001585
87,18129.7,0.73545,0.51755,1.22016,0.92804,0.86806,0.93072,0.65691,1.12075,0.54717,1.73587,0.001486,0.001486,0.001486
88,18337.1,0.73142,0.51532,1.21834,0.92448,0.87099,0.93259,0.65753,1.12578,0.54566,1.74602,0.001387,0.001387,0.001387
89,18544.9,0.73142,0.50587,1.21643,0.91485,0.87817,0.93332,0.65675,1.12657,0.54532,1.75127,0.001288,0.001288,0.001288
90,18753.4,0.72907,0.51473,1.21521,0.92462,0.86827,0.93228,0.65592,1.12814,0.55057,1.75555,0.001189,0.001189,0.001189
